FECHA DE ULTIMA ACTUALIZACION DE INFORMACION,REGION,SERVICIO DE SALUD,COMUNA,COD. DEIS PUNTO (DONDE TRIBUTA RNI),NOMBRE DEL PUNTO ,DIRECCION DEL PUNTO,LATITUD,LONGITUD,HORARIO HÁBIL,EXTENSIÓN HORARIA,TIPO DE PUNTO ,CAMPAÑA ASOCIADA,OBSERVACIONES ,Fecha de actualización
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,101307.0,CESFAM PETRUCCELLI,LINDEROS PONIENTE 4752,-18426894.0,-70290549.0,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,101305.0,CESFAM SAPUNAR,SILVIA ARRIAGADA 1020,-18480229.0,-70308177.0,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,101303.0,CESFAM IRIS VELIZ,LAS TORRES 2699,-18483924.0,-70282422.0,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,101300.0,CESFAM VICTOR BERTIN SOTO,BELEN 1635,-18476844.0,-70296028.0,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-06-06 0:00:00,ARICA,S.S. ARICA,CAMARONES,101406.0,POSTA SALUD RURAL CODPA,CASERIO DE COPDA,-18833227.0,-69744859.0,LUNES A VIERNES 8:30 A 18:00 SABADO Y DOMINGO 8:00 A 13:00 Y  15:00 A  19:00 (TURNO URGENCIA),SI,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,PUTRE,101304.0,CESFAM PUTRE,BAQUEDANO 261,-18197612.0,-69557341.0,LUNES A JUEVES 8:30  A 17:45 VIERNES 8:00 A 16:00 Y Y SABADO Y DOMINGO 8:00 A 13:00 (TURNO URGENCIA),NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-06-06 0:00:00,ARICA,S.S. ARICA,GENERAL LAGOS,101404.0,POSTA SALUR RURAL VISVIRI,LA CONCEPCION S/N,-17594867.0,-69480469.0,LUNES A DOMINGO 8:30 A 13:00 Y DE 15:00 A 19:30 (SABADO Y DOMINGO TURNO URGENCIA),SI,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,101400.0,POSTA SALUR RURAL SAN MIGUEL DE AZAPA,"SAN MIGUEL DE AZAPA, LOS ARAUCANOS S/N",-18518294.0,-7017858.0,LUNES A JUEVES 10:00 A 16:00 Y VIERNES 10:00 A 15:00,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,101400.0,CESFAM ROSA VASCOPE ZARZOLA,VOLCAN GUALLATIRE 1070,,,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
2024-06-06 0:00:00,ARICA,S.S. ARICA,ARICA,101400.0,POSTA SALUD RURAL POCONCHILE,KILÓMETRO 37 DEL VALLE DE LLUTA,,,LUNES A JUEVES 9:00 A 15:00 Y VIERNES 9:00 A 14:00,NO,INTRAMURO,COVID-19 E INFLUENZA,NO,
