FECHA DE ULTIMA ACTUALIZACION DE INFORMACION,REGION,SERVICIO DE SALUD,COMUNA,COD. DEIS PUNTO (DONDE TRIBUTA RNI),NOMBRE DEL PUNTO ,DIRECCION DEL PUNTO,LATITUD,LONGITUD,HORARIO HÁBIL,EXTENSIÓN HORARIA,TIPO DE PUNTO ,CAMPAÑA ASOCIADA,OBSERVACIONES ,Fecha de actualización
06-06-2024,ARICA,S.S. ARICA,ARICA,101307.0,CESFAM PETRUCCELLI,LINDEROS PONIENTE 4752,-18426894.0,-70290549.0,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
06-06-2024,ARICA,S.S. ARICA,ARICA,101305.0,CESFAM SAPUNAR,SILVIA ARRIAGADA 1020,-18480229.0,-70308177.0,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
06-06-2024,ARICA,S.S. ARICA,ARICA,101303.0,CESFAM IRIS VELIZ,LAS TORRES 2699,-18483924.0,-70282422.0,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
06-06-2024,ARICA,S.S. ARICA,ARICA,101300.0,CESFAM VICTOR BERTIN SOTO,BELEN 1635,-18476844.0,-70296028.0,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
06-06-2024,ARICA,S.S. ARICA,PUTRE,101304.0,CESFAM PUTRE,BAQUEDANO 261,-18197612.0,-69557341.0,LUNES A JUEVES 8:30  A 17:45 VIERNES 8:00 A 16:00 Y Y SABADO Y DOMINGO 8:00 A 13:00 (TURNO URGENCIA),NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
06-06-2024,ARICA,S.S. ARICA,ARICA,101400.0,CESFAM ROSA VASCOPE ZARZOLA,VOLCAN GUALLATIRE 1070,,,LUNES A VIERNES 8:00 A 19:30 Y SABADOS DE 9:00 A 12:30,SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
06-06-2024,ARICA,S.S. ARICA,ARICA,,CENTRO MEDICO CHUNGARA,18 DE SEPTIEMBRE 1315,,,LUNES A VIERNES10:00 A 17:00,NO,INTRAMURO,COVID-19 E INFLUENZA,SI,
06-06-2024,ARICA,S.S. ARICA,ARICA,,NIRSEVIMAB POLIPEDIATRIA HOSPITAL DR JUAN NOÉ CREVANI,ENTRADA GALLO 3ER PISO POLIPEDIATRIA (NIRSEVIMAB E INFLUENZA),,,LUNES A JUEVES DE 14:00 A 16:30 VIERNES DE 14:00 A 15:30,NO,INTRAMURO,SOLO INFLUENZA,SI,
31-05-2024,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,200557,CESFAM YANDRY AÑAZCO,LOS LAGOS 4320,-20277805.0,-70084017.0,"LUNES A VIERNES 08:30 A 19:00 HRS., SABADO 09:00 A 13:00",SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
31-05-2024,TARAPACA,S.S. TARAPACÁ,ALTO HOSPICIO,102307,CESFAM HECTOR REYNO,AVENIDA MÁRTIR DETECTIVE JOSÉ CUBILLOS #3080,-20287114.0,-7010386.0,"LUNES A VIERNES 08:30 A 19:00 HRS., SABADO 09:00 A 13:00",SI,INTRAMURO,COVID-19 E INFLUENZA,SI,
